Library,Compound,161,217,235,238,242,243,244
ChemBridge Microformat,5350506,--,--,--,0,--,--,--
ChemBridge Microformat,6035810,--,--,--,0,--,--,--
ChemBridge Microformat,6035829,--,--,--,0,--,--,--
ChemBridge Microformat,5109695,--,--,--,0,--,--,--
ChemBridge Microformat,5350900,--,--,--,0,--,--,--
ChemBridge Microformat,5109642,--,--,--,0,--,--,--
ChemBridge Microformat,6035578,--,--,--,0,--,--,--
ChemBridge Microformat,5109477,--,--,--,0,--,--,--
ChemBridge Microformat,5109513,--,--,--,0,--,--,--
ChemBridge Microformat,5109081,--,--,--,0,--,--,--
ChemBridge Microformat,6035243,--,--,--,0,--,--,--
ChemBridge Microformat,5725172,--,--,--,0,--,--,--
ChemBridge Microformat,5951322,--,--,--,0,--,--,--
ChemBridge Microformat,6192481,--,--,--,0,--,--,--
ChemBridge Microformat,5794823,--,--,--,0,--,--,--
ChemBridge Microformat,5794565,--,--,--,0,--,--,--
ChemBridge Microformat,6192882,--,--,--,0,--,--,--
ChemBridge Microformat,5839179,--,--,--,0,--,--,--
ChemBridge Microformat,5839186,--,--,--,0,--,--,--
ChemBridge Microformat,5792894,--,--,--,0,--,--,--
ChemBridge Microformat,5839582,--,--,--,0,--,--,--
ChemBridge Microformat,6207937,--,--,--,0,--,--,--
ChemBridge Microformat,6207986,--,--,--,0,--,--,--
ChemBridge Microformat,6208016,--,--,--,0,--,--,--
ChemBridge Microformat,6208186,--,--,--,0,--,--,--
ChemBridge Microformat,6207325,--,--,--,0,--,--,--
ChemBridge Microformat,6207383,--,--,--,0,--,--,--
ChemBridge Microformat,6207724,--,--,--,0,--,--,--
ChemBridge Microformat,6207766,--,--,--,0,--,--,--
ChemBridge Microformat,5839440,--,--,--,0,--,--,--
ChemBridge Microformat,6208404,--,--,--,0,--,--,--
ChemBridge Microformat,6208411,--,--,--,0,--,--,--
ChemBridge Microformat,6137597,--,--,--,0,--,--,--
ChemBridge Microformat,5836780,--,--,--,0,--,--,--
ChemBridge Microformat,5836810,--,--,--,0,--,--,--
ChemBridge Microformat,5948690,--,--,--,0,--,--,--
ChemBridge Microformat,5948544,--,--,--,0,--,--,--
ChemBridge Microformat,5948339,--,--,--,0,--,--,--
ChemBridge Microformat,5948094,--,--,--,0,--,--,--
ChemBridge Microformat,5948019,--,--,--,0,--,--,--
ChemBridge Microformat,5947838,--,--,--,0,--,--,--
ChemBridge Microformat,5948532,--,--,--,0,--,--,--
ChemBridge Microformat,5948520,--,--,--,0,--,--,--
ChemBridge Microformat,5948434,--,--,--,0,--,--,--
ChemBridge Microformat,6137670,--,--,--,0,--,--,--
ChemBridge Microformat,6137752,--,--,--,1,--,--,--
ChemBridge Microformat,6137742,--,--,--,0,--,--,--
ChemBridge Microformat,5703528,--,--,--,0,--,--,--
ChemBridge Microformat,5725308,--,--,--,0,--,--,--
ChemBridge Microformat,5635618,--,--,--,0,--,--,--
ChemBridge Microformat,5948374,--,--,--,0,--,--,--
ChemBridge Microformat,5636789,--,--,--,0,--,--,--
ChemBridge Microformat,5531727,--,--,--,0,--,--,--
ChemBridge Microformat,5636379,--,--,--,0,--,--,--
ChemBridge Microformat,5705981,--,--,--,0,--,--,--
ChemBridge Microformat,6241008,--,--,--,0,--,--,--
ChemBridge Microformat,5636979,--,--,--,0,--,--,--
ChemBridge Microformat,5638001,--,--,--,0,--,--,--
ChemBridge Microformat,5637964,--,--,--,0,--,--,--
