Library,Compound,161,217,235,238,242,243,244
ChemBridge Microformat,5707700,--,--,--,0,--,--,--
ChemBridge Microformat,6097481,--,--,--,0,--,--,--
ChemBridge Microformat,6097589,--,--,--,0,--,--,--
ChemBridge Microformat,5630025,--,--,--,0,--,--,--
ChemBridge Microformat,5629769,--,--,--,0,--,--,--
ChemBridge Microformat,5629719,--,--,--,1,--,--,--
ChemBridge Microformat,6097116,--,--,--,0,--,--,--
ChemBridge Microformat,6096902,--,--,--,0,--,--,--
ChemBridge Microformat,5629382,--,--,--,0,--,--,--
ChemBridge Microformat,5629226,--,--,--,0,--,--,--
ChemBridge Microformat,5629081,--,--,--,0,--,--,--
ChemBridge Microformat,5628499,--,--,--,0,--,--,--
ChemBridge Microformat,5628015,--,--,--,0,--,--,--
ChemBridge Microformat,5110944,--,--,--,0,--,--,--
ChemBridge Microformat,5110940,--,--,--,0,--,--,--
ChemBridge Microformat,5349875,--,--,--,0,--,--,--
ChemBridge Microformat,5349985,--,--,--,0,--,--,--
ChemBridge Microformat,5349451,--,--,--,0,--,--,--
ChemBridge Microformat,5349459,--,--,--,0,--,--,--
ChemBridge Microformat,6032376,--,--,--,0,--,--,--
ChemBridge Microformat,5349340,--,--,--,0,--,--,--
ChemBridge Microformat,5110936,--,--,--,0,--,--,--
ChemBridge Microformat,5110558,--,--,--,0,--,--,--
ChemBridge Microformat,5110272,--,--,--,0,--,--,--
ChemBridge Microformat,5349067,--,--,--,0,--,--,--
ChemBridge Microformat,6119532,--,--,--,0,--,--,--
ChemBridge Microformat,5746022,--,--,--,0,--,--,--
ChemBridge Microformat,5745680,--,--,--,0,--,--,--
ChemBridge Microformat,5745247,--,--,--,0,--,--,--
ChemBridge Microformat,5745226,--,--,--,0,--,--,--
ChemBridge Microformat,5745162,--,--,--,0,--,--,--
ChemBridge Microformat,5744904,--,--,--,0,--,--,--
ChemBridge Microformat,5744842,--,--,--,0,--,--,--
ChemBridge Microformat,5744709,--,--,--,0,--,--,--
ChemBridge Microformat,5746094,--,--,--,0,--,--,--
ChemBridge Microformat,5746053,--,--,--,0,--,--,--
ChemBridge Microformat,6146616,--,--,--,0,--,--,--
ChemBridge Microformat,6141603,--,--,--,0,--,--,--
ChemBridge Microformat,6119707,--,--,--,0,--,--,--
ChemBridge Microformat,6033406,--,--,--,0,--,--,--
ChemBridge Microformat,5924833,--,--,--,0,--,--,--
ChemBridge Microformat,6238603,--,--,--,0,--,--,--
ChemBridge Microformat,5354926,--,--,--,0,--,--,--
ChemBridge Microformat,6190803,--,--,--,0,--,--,--
ChemBridge Microformat,6058982,--,--,--,0,--,--,--
ChemBridge Microformat,6206646,--,--,--,0,--,--,--
ChemBridge Microformat,6206642,--,--,--,0,--,--,--
ChemBridge Microformat,6206841,--,--,--,0,--,--,--
ChemBridge Microformat,6206716,--,--,--,0,--,--,--
ChemBridge Microformat,6207041,--,--,--,0,--,--,--
ChemBridge Microformat,6206863,--,--,--,0,--,--,--
ChemBridge Microformat,6207091,--,--,--,0,--,--,--
ChemBridge Microformat,6207078,--,--,--,0,--,--,--
ChemBridge Microformat,6207134,--,--,--,0,--,--,--
ChemBridge Microformat,6033487,--,--,--,0,--,--,--
ChemBridge Microformat,6190574,--,--,--,0,--,--,--
ChemBridge Microformat,6058701,--,--,--,0,--,--,--
ChemBridge Microformat,6190371,--,--,--,0,--,--,--
ChemBridge Microformat,5111107,--,--,--,0,--,--,--
ChemBridge Microformat,6058785,--,--,--,0,--,--,--
ChemBridge Microformat,5950027,--,--,--,0,--,--,--
ChemBridge Microformat,5950182,--,--,--,0,--,--,--
ChemBridge Microformat,5948970,--,--,--,0,--,--,--
ChemBridge Microformat,5948998,--,--,--,0,--,--,--
ChemBridge Microformat,5949288,--,--,--,0,--,--,--
ChemBridge Microformat,5949527,--,--,--,0,--,--,--
ChemBridge Microformat,5949685,--,--,--,0,--,--,--
ChemBridge Microformat,5949713,--,--,--,0,--,--,--
ChemBridge Microformat,5949744,--,--,--,0,--,--,--
ChemBridge Microformat,5950012,--,--,--,0,--,--,--
ChemBridge Microformat,5112000,--,--,--,0,--,--,--
ChemBridge Microformat,6211514,--,--,--,0,--,--,--
ChemBridge Microformat,5355390,--,--,--,0,--,--,--
ChemBridge Microformat,6119989,--,--,--,0,--,--,--
ChemBridge Microformat,5793030,--,--,--,0,--,--,--
ChemBridge Microformat,6141481,--,--,--,0,--,--,--
ChemBridge Microformat,5852952,--,--,--,1,--,--,--
ChemBridge Microformat,6141527,--,--,--,0,--,--,--
ChemBridge Microformat,5853047,--,--,--,0,--,--,--
ChemBridge Microformat,5987008,--,--,--,0,--,--,--
ChemBridge Microformat,6144126,--,--,--,0,--,--,--
ChemBridge Microformat,5852893,--,--,--,0,--,--,--
ChemBridge Microformat,6150048,--,--,--,0,--,--,--
ChemBridge Microformat,6144139,--,--,--,0,--,--,--
ChemBridge Microformat,6141563,--,--,--,0,--,--,--
ChemBridge Microformat,5853093,--,--,--,0,--,--,--
ChemBridge Microformat,6144218,--,--,--,0,--,--,--
ChemBridge Microformat,6149969,--,--,--,0,--,--,--
ChemBridge Microformat,6149948,--,--,--,0,--,--,--
ChemBridge Microformat,6150009,--,--,--,0,--,--,--
ChemBridge Microformat,6241184,--,--,--,0,--,--,--
ChemBridge Microformat,6241185,--,--,--,0,--,--,--
ChemBridge Microformat,6149995,--,--,--,0,--,--,--
ChemBridge Microformat,6241143,--,--,--,0,--,--,--
ChemBridge Microformat,6241145,--,--,--,0,--,--,--
ChemBridge Microformat,6241152,--,--,--,0,--,--,--
ChemBridge Microformat,6241156,--,--,--,0,--,--,--
ChemBridge Microformat,6241171,--,--,--,1,--,--,--
ChemBridge Microformat,6241173,--,--,--,0,--,--,--
ChemBridge Microformat,6241175,--,--,--,0,--,--,--
ChemBridge Microformat,6241176,--,--,--,0,--,--,--
ChemBridge Microformat,5842978,--,--,--,0,--,--,--
ChemBridge Microformat,5842898,--,--,--,0,--,--,--
ChemBridge Microformat,5842853,--,--,--,0,--,--,--
ChemBridge Microformat,5842772,--,--,--,0,--,--,--
ChemBridge Microformat,5842755,--,--,--,0,--,--,--
ChemBridge Microformat,5842556,--,--,--,0,--,--,--
ChemBridge Microformat,5842470,--,--,--,0,--,--,--
ChemBridge Microformat,5842405,--,--,--,0,--,--,--
ChemBridge Microformat,5842377,--,--,--,0,--,--,--
ChemBridge Microformat,5842295,--,--,--,0,--,--,--
ChemBridge Microformat,6067902,--,--,--,0,--,--,--
ChemBridge Microformat,5614954,--,--,--,0,--,--,--
ChemBridge Microformat,6039719,--,--,--,0,--,--,--
ChemBridge Microformat,6168949,--,--,--,0,--,--,--
ChemBridge Microformat,6168940,--,--,--,0,--,--,--
ChemBridge Microformat,6153935,--,--,--,0,--,--,--
ChemBridge Microformat,6153934,--,--,--,0,--,--,--
ChemBridge Microformat,5615457,--,--,--,0,--,--,--
ChemBridge Microformat,6168777,--,--,--,0,--,--,--
ChemBridge Microformat,6153679,--,--,--,0,--,--,--
ChemBridge Microformat,6153677,--,--,--,0,--,--,--
ChemBridge Microformat,6168791,--,--,--,0,--,--,--
ChemBridge Microformat,6153874,--,--,--,0,--,--,--
ChemBridge Microformat,6153865,--,--,--,0,--,--,--
ChemBridge Microformat,6153827,--,--,--,0,--,--,--
ChemBridge Microformat,6153784,--,--,--,0,--,--,--
ChemBridge Microformat,5804503,--,--,--,0,--,--,--
ChemBridge Microformat,5804253,--,--,--,0,--,--,--
ChemBridge Microformat,5803771,--,--,--,0,--,--,--
ChemBridge Microformat,5803716,--,--,--,0,--,--,--
ChemBridge Microformat,5803712,--,--,--,0,--,--,--
ChemBridge Microformat,5803689,--,--,--,0,--,--,--
ChemBridge Microformat,5804082,--,--,--,0,--,--,--
ChemBridge Microformat,5803981,--,--,--,0,--,--,--
ChemBridge Microformat,5803811,--,--,--,0,--,--,--
ChemBridge Microformat,5803802,--,--,--,0,--,--,--
ChemBridge Microformat,6123559,--,--,--,0,--,--,--
ChemBridge Microformat,6123513,--,--,--,0,--,--,--
ChemBridge Microformat,6123486,--,--,--,0,--,--,--
ChemBridge Microformat,6123458,--,--,--,0,--,--,--
ChemBridge Microformat,6123693,--,--,--,0,--,--,--
ChemBridge Microformat,6123647,--,--,--,1,--,--,--
ChemBridge Microformat,6123596,--,--,--,0,--,--,--
ChemBridge Microformat,6123583,--,--,--,2,--,--,--
ChemBridge Microformat,6141476,--,--,--,0,--,--,--
ChemBridge Microformat,6123738,--,--,--,0,--,--,--
ChemBridge Microformat,6123707,--,--,--,0,--,--,--
ChemBridge Microformat,6238437,--,--,--,0,--,--,--
ChemBridge Microformat,6238429,--,--,--,0,--,--,--
ChemBridge Microformat,6238428,--,--,--,0,--,--,--
ChemBridge Microformat,6238426,--,--,--,0,--,--,--
ChemBridge Microformat,6238423,--,--,--,0,--,--,--
ChemBridge Microformat,6238422,--,--,--,0,--,--,--
ChemBridge Microformat,6238413,--,--,--,0,--,--,--
ChemBridge Microformat,6238410,--,--,--,1,--,--,--
ChemBridge Microformat,6238450,--,--,--,0,--,--,--
ChemBridge Microformat,6238443,--,--,--,0,--,--,--
ChemBridge Microformat,5814319,--,--,--,0,--,--,--
ChemBridge Microformat,5768818,--,--,--,0,--,--,--
ChemBridge Microformat,6151058,--,--,--,0,--,--,--
ChemBridge Microformat,6151070,--,--,--,0,--,--,--
ChemBridge Microformat,6150954,--,--,--,0,--,--,--
ChemBridge Microformat,6150971,--,--,--,0,--,--,--
ChemBridge Microformat,6150914,--,--,--,0,--,--,--
ChemBridge Microformat,6150922,--,--,--,0,--,--,--
ChemBridge Microformat,6150878,--,--,--,0,--,--,--
ChemBridge Microformat,6150894,--,--,--,0,--,--,--
ChemBridge Microformat,6151122,--,--,--,0,--,--,--
ChemBridge Microformat,6151197,--,--,--,0,--,--,--
ChemBridge Microformat,6222122,--,--,--,0,--,--,--
ChemBridge Microformat,6222352,--,--,--,0,--,--,--
ChemBridge Microformat,6222091,--,--,--,0,--,--,--
ChemBridge Microformat,6222109,--,--,--,0,--,--,--
ChemBridge Microformat,6222058,--,--,--,0,--,--,--
ChemBridge Microformat,6222066,--,--,--,0,--,--,--
ChemBridge Microformat,6221980,--,--,--,0,--,--,--
ChemBridge Microformat,6222049,--,--,--,0,--,--,--
ChemBridge Microformat,6222360,--,--,--,0,--,--,--
ChemBridge Microformat,6222408,--,--,--,0,--,--,--
ChemBridge Microformat,6110174,--,--,--,0,--,--,--
ChemBridge Microformat,6110154,--,--,--,0,--,--,--
ChemBridge Microformat,6110153,--,--,--,0,--,--,--
ChemBridge Microformat,6110067,--,--,--,0,--,--,--
ChemBridge Microformat,6110053,--,--,--,0,--,--,--
ChemBridge Microformat,6110004,--,--,--,0,--,--,--
ChemBridge Microformat,6109915,--,--,--,0,--,--,--
ChemBridge Microformat,6109837,--,--,--,0,--,--,--
ChemBridge Microformat,6109732,--,--,--,0,--,--,--
ChemBridge Microformat,6109724,--,--,--,0,--,--,--
ChemBridge Microformat,6145131,--,--,--,0,--,--,--
ChemBridge Microformat,5729910,--,--,--,0,--,--,--
ChemBridge Microformat,6055913,--,--,--,0,--,--,--
ChemBridge Microformat,6055973,--,--,--,0,--,--,--
ChemBridge Microformat,6055982,--,--,--,0,--,--,--
ChemBridge Microformat,6056009,--,--,--,0,--,--,--
ChemBridge Microformat,6055808,--,--,--,0,--,--,--
ChemBridge Microformat,6055820,--,--,--,0,--,--,--
ChemBridge Microformat,6055844,--,--,--,0,--,--,--
ChemBridge Microformat,6055897,--,--,--,0,--,--,--
ChemBridge Microformat,6144156,--,--,--,0,--,--,--
ChemBridge Microformat,6056020,--,--,--,0,--,--,--
ChemBridge Microformat,6056114,--,--,--,0,--,--,--
ChemBridge Microformat,5969665,--,--,--,0,--,--,--
ChemBridge Microformat,5969541,--,--,--,0,--,--,--
ChemBridge Microformat,6001901,--,--,--,0,--,--,--
ChemBridge Microformat,6001899,--,--,--,0,--,--,--
ChemBridge Microformat,5969256,--,--,--,0,--,--,--
ChemBridge Microformat,5969096,--,--,--,0,--,--,--
ChemBridge Microformat,5969344,--,--,--,0,--,--,--
ChemBridge Microformat,5969334,--,--,--,0,--,--,--
ChemBridge Microformat,5968990,--,--,--,0,--,--,--
ChemBridge Microformat,5968871,--,--,--,0,--,--,--
ChemBridge Microformat,5969077,--,--,--,0,--,--,--
ChemBridge Microformat,5969021,--,--,--,0,--,--,--
ChemBridge Microformat,5736518,--,--,--,0,--,--,--
ChemBridge Microformat,6039213,--,--,--,0,--,--,--
ChemBridge Microformat,6039216,--,--,--,0,--,--,--
ChemBridge Microformat,6039037,--,--,--,0,--,--,--
ChemBridge Microformat,6039155,--,--,--,0,--,--,--
ChemBridge Microformat,6038976,--,--,--,0,--,--,--
ChemBridge Microformat,6038989,--,--,--,0,--,--,--
ChemBridge Microformat,6038866,--,--,--,0,--,--,--
ChemBridge Microformat,6038962,--,--,--,0,--,--,--
ChemBridge Microformat,6038807,--,--,--,0,--,--,--
ChemBridge Microformat,6038843,--,--,--,0,--,--,--
ChemBridge Microformat,5999268,--,--,--,0,--,--,--
ChemBridge Microformat,5999263,--,--,--,0,--,--,--
ChemBridge Microformat,5998277,--,--,--,0,--,--,--
ChemBridge Microformat,5998221,--,--,--,0,--,--,--
ChemBridge Microformat,5998729,--,--,--,0,--,--,--
ChemBridge Microformat,5998446,--,--,--,0,--,--,--
ChemBridge Microformat,5999032,--,--,--,0,--,--,--
ChemBridge Microformat,5998759,--,--,--,0,--,--,--
ChemBridge Microformat,5999172,--,--,--,0,--,--,--
ChemBridge Microformat,5999037,--,--,--,0,--,--,--
ChemBridge Microformat,6158270,--,--,--,0,--,--,--
ChemBridge Microformat,6158350,--,--,--,0,--,--,--
ChemBridge Microformat,6158366,--,--,--,0,--,--,--
ChemBridge Microformat,6158405,--,--,--,0,--,--,--
ChemBridge Microformat,6158409,--,--,--,0,--,--,--
ChemBridge Microformat,6158488,--,--,--,0,--,--,--
ChemBridge Microformat,6158524,--,--,--,0,--,--,--
ChemBridge Microformat,6158555,--,--,--,0,--,--,--
ChemBridge Microformat,6158572,--,--,--,0,--,--,--
ChemBridge Microformat,6145179,--,--,--,0,--,--,--
ChemBridge Microformat,5141807,--,--,--,0,--,--,--
ChemBridge Microformat,5141694,--,--,--,0,--,--,--
ChemBridge Microformat,5806931,--,--,--,0,--,--,--
ChemBridge Microformat,6239168,--,--,--,0,--,--,--
ChemBridge Microformat,6239175,--,--,--,0,--,--,--
ChemBridge Microformat,5141673,--,--,--,0,--,--,--
ChemBridge Microformat,6239148,--,--,--,0,--,--,--
ChemBridge Microformat,6239156,--,--,--,0,--,--,--
ChemBridge Microformat,6239157,--,--,--,0,--,--,--
ChemBridge Microformat,6239159,--,--,--,0,--,--,--
ChemBridge Microformat,6239127,--,--,--,0,--,--,--
ChemBridge Microformat,6239135,--,--,--,0,--,--,--
ChemBridge Microformat,6239137,--,--,--,0,--,--,--
ChemBridge Microformat,6239140,--,--,--,0,--,--,--
ChemBridge Microformat,5682022,--,--,--,0,--,--,--
ChemBridge Microformat,6238215,--,--,--,0,--,--,--
ChemBridge Microformat,6238216,--,--,--,0,--,--,--
ChemBridge Microformat,6238213,--,--,--,0,--,--,--
ChemBridge Microformat,6238214,--,--,--,0,--,--,--
ChemBridge Microformat,6238202,--,--,--,0,--,--,--
ChemBridge Microformat,6238208,--,--,--,0,--,--,--
ChemBridge Microformat,6238196,--,--,--,0,--,--,--
ChemBridge Microformat,6238200,--,--,--,0,--,--,--
ChemBridge Microformat,5807034,--,--,--,0,--,--,--
ChemBridge Microformat,6238226,--,--,--,0,--,--,--
ChemBridge Microformat,6238229,--,--,--,0,--,--,--
ChemBridge Microformat,6145217,--,--,--,0,--,--,--
ChemBridge Microformat,5490957,--,--,--,0,--,--,--
ChemBridge Microformat,5785065,--,--,--,0,--,--,--
ChemBridge Microformat,5785112,--,--,--,0,--,--,--
ChemBridge Microformat,5785149,--,--,--,0,--,--,--
ChemBridge Microformat,5785153,--,--,--,0,--,--,--
ChemBridge Microformat,6125166,--,--,--,0,--,--,--
ChemBridge Microformat,6125124,--,--,--,0,--,--,--
ChemBridge Microformat,6141861,--,--,--,0,--,--,--
ChemBridge Microformat,6141851,--,--,--,0,--,--,--
ChemBridge Microformat,6125065,--,--,--,0,--,--,--
ChemBridge Microformat,6141823,--,--,--,0,--,--,--
ChemBridge Microformat,6141804,--,--,--,0,--,--,--
ChemBridge Microformat,6125085,--,--,--,0,--,--,--
ChemBridge Microformat,6141778,--,--,--,0,--,--,--
ChemBridge Microformat,6124787,--,--,--,0,--,--,--
ChemBridge Microformat,6141700,--,--,--,0,--,--,--
ChemBridge Microformat,6124897,--,--,--,0,--,--,--
ChemBridge Microformat,6012619,--,--,--,0,--,--,--
ChemBridge Microformat,6012600,--,--,--,0,--,--,--
ChemBridge Microformat,5611110,--,--,--,0,--,--,--
ChemBridge Microformat,5104303,--,--,--,0,--,--,--
ChemBridge Microformat,5174404,--,--,--,0,--,--,--
ChemBridge Microformat,5170284,--,--,--,0,--,--,--
ChemBridge Microformat,6047089,--,--,--,0,--,--,--
ChemBridge Microformat,5104431,--,--,--,0,--,--,--
ChemBridge Microformat,5170265,--,--,--,0,--,--,--
ChemBridge Microformat,5170274,--,--,--,0,--,--,--
ChemBridge Microformat,5871652,--,--,--,0,--,--,--
ChemBridge Microformat,5871906,--,--,--,0,--,--,--
ChemBridge Microformat,5872060,--,--,--,0,--,--,--
ChemBridge Microformat,5872181,--,--,--,0,--,--,--
ChemBridge Microformat,5871111,--,--,--,0,--,--,--
ChemBridge Microformat,5871435,--,--,--,0,--,--,--
ChemBridge Microformat,5871599,--,--,--,0,--,--,--
ChemBridge Microformat,5871644,--,--,--,0,--,--,--
ChemBridge Microformat,5872426,--,--,--,0,--,--,--
ChemBridge Microformat,5872600,--,--,--,0,--,--,--
ChemBridge Microformat,6013192,--,--,--,0,--,--,--
ChemBridge Microformat,5808523,--,--,--,0,--,--,--
ChemBridge Microformat,5488613,--,--,--,0,--,--,--
ChemBridge Microformat,6072306,--,--,--,0,--,--,--
ChemBridge Microformat,6072311,--,--,--,1,--,--,--
ChemBridge Microformat,5662172,--,--,--,0,--,--,--
ChemBridge Microformat,5662090,--,--,--,0,--,--,--
ChemBridge Microformat,5710234,--,--,--,0,--,--,--
ChemBridge Microformat,5709909,--,--,--,0,--,--,--
ChemBridge Microformat,5709813,--,--,--,0,--,--,--
ChemBridge Microformat,5661736,--,--,--,0,--,--,--
ChemBridge Microformat,5662084,--,--,--,0,--,--,--
ChemBridge Microformat,5709699,--,--,--,0,--,--,--
ChemBridge Microformat,5709210,--,--,--,0,--,--,--
ChemBridge Microformat,6072279,--,--,--,1,--,--,--
ChemBridge Microformat,6072098,--,--,--,0,--,--,--
ChemBridge Microformat,5661627,--,--,--,0,--,--,--
ChemBridge Microformat,6022016,--,--,--,0,--,--,--
ChemBridge Microformat,6022014,--,--,--,0,--,--,--
ChemBridge Microformat,5244439,--,--,--,0,--,--,--
ChemBridge Microformat,5245211,--,--,--,0,--,--,--
ChemBridge Microformat,5546834,--,--,--,0,--,--,--
ChemBridge Microformat,5548055,--,--,--,0,--,--,--
ChemBridge Microformat,6021450,--,--,--,0,--,--,--
ChemBridge Microformat,6021410,--,--,--,0,--,--,--
ChemBridge Microformat,5243519,--,--,--,1,--,--,--
ChemBridge Microformat,6021474,--,--,--,0,--,--,--
ChemBridge Microformat,5241212,--,--,--,0,--,--,--
ChemBridge Microformat,5242015,--,--,--,0,--,--,--
ChemBridge Microformat,5242016,--,--,--,0,--,--,--
ChemBridge Microformat,5545446,--,--,--,0,--,--,--
ChemBridge Microformat,5709740,--,--,--,0,--,--,--
ChemBridge Microformat,5673686,--,--,--,0,--,--,--
ChemBridge Microformat,5865462,--,--,--,0,--,--,--
ChemBridge Microformat,5865445,--,--,--,0,--,--,--
ChemBridge Microformat,5865415,--,--,--,0,--,--,--
ChemBridge Microformat,5865390,--,--,--,0,--,--,--
ChemBridge Microformat,6114578,--,--,--,0,--,--,--
ChemBridge Microformat,5865749,--,--,--,0,--,--,--
ChemBridge Microformat,5865743,--,--,--,0,--,--,--
ChemBridge Microformat,5351572,--,--,--,0,--,--,--
ChemBridge Microformat,5351684,--,--,--,0,--,--,--
ChemBridge Microformat,5816395,--,--,--,0,--,--,--
ChemBridge Microformat,5351137,--,--,--,0,--,--,--
ChemBridge Microformat,5351169,--,--,--,0,--,--,--
ChemBridge Microformat,5351224,--,--,--,0,--,--,--
ChemBridge Microformat,5816033,--,--,--,0,--,--,--
ChemBridge Microformat,5351364,--,--,--,0,--,--,--
ChemBridge Microformat,5351462,--,--,--,0,--,--,--
ChemBridge Microformat,5351526,--,--,--,0,--,--,--
ChemBridge Microformat,5351569,--,--,--,0,--,--,--
ChemBridge Microformat,5632189,--,--,--,0,--,--,--
ChemBridge Microformat,5632200,--,--,--,0,--,--,--
ChemBridge Microformat,5682704,--,--,--,0,--,--,--
ChemBridge Microformat,5632064,--,--,--,0,--,--,--
ChemBridge Microformat,5632377,--,--,--,0,--,--,--
ChemBridge Microformat,5709168,--,--,--,0,--,--,--
ChemBridge Microformat,5682142,--,--,--,0,--,--,--
ChemBridge Microformat,5632291,--,--,--,1,--,--,--
ChemBridge Microformat,5740609,--,--,--,0,--,--,--
ChemBridge Microformat,5808084,--,--,--,0,--,--,--
ChemBridge Microformat,5479476,--,--,--,0,--,--,--
ChemBridge Microformat,5493052,--,--,--,0,--,--,--
ChemBridge Microformat,5731327,--,--,--,0,--,--,--
ChemBridge Microformat,5709141,--,--,--,0,--,--,--
ChemBridge Microformat,5731424,--,--,--,0,--,--,--
ChemBridge Microformat,6138746,--,--,--,0,--,--,--
ChemBridge Microformat,5740809,--,--,--,0,--,--,--
ChemBridge Microformat,5731186,--,--,--,0,--,--,--
ChemBridge Microformat,5479491,--,--,--,0,--,--,--
ChemBridge Microformat,6076812,--,--,--,0,--,--,--
ChemBridge Microformat,5731308,--,--,--,0,--,--,--
ChemBridge Microformat,5112139,--,--,--,0,--,--,--
ChemBridge Microformat,6076635,--,--,--,0,--,--,--
ChemBridge Microformat,5112447,--,--,--,0,--,--,--
ChemBridge Microformat,5112411,--,--,--,0,--,--,--
ChemBridge Microformat,6033706,--,--,--,0,--,--,--
ChemBridge Microformat,6033558,--,--,--,0,--,--,--
ChemBridge Microformat,5112078,--,--,--,0,--,--,--
ChemBridge Microformat,5112064,--,--,--,0,--,--,--
ChemBridge Microformat,6212211,--,--,--,0,--,--,--
ChemBridge Microformat,6212206,--,--,--,1,--,--,--
ChemBridge Microformat,6212108,--,--,--,0,--,--,--
ChemBridge Microformat,6211853,--,--,--,0,--,--,--
ChemBridge Microformat,6034183,--,--,--,0,--,--,--
ChemBridge Microformat,5112616,--,--,--,0,--,--,--
ChemBridge Microformat,6058544,--,--,--,0,--,--,--
ChemBridge Microformat,6212259,--,--,--,0,--,--,--
ChemBridge Microformat,5946730,--,--,--,0,--,--,--
ChemBridge Microformat,5982228,--,--,--,0,--,--,--
ChemBridge Microformat,5982704,--,--,--,0,--,--,--
ChemBridge Microformat,5317590,--,--,--,0,--,--,--
ChemBridge Microformat,5981304,--,--,--,0,--,--,--
ChemBridge Microformat,5981939,--,--,--,0,--,--,--
ChemBridge Microformat,5947368,--,--,--,0,--,--,--
ChemBridge Microformat,5947426,--,--,--,0,--,--,--
ChemBridge Microformat,6076543,--,--,--,0,--,--,--
ChemBridge Microformat,5947535,--,--,--,0,--,--,--
ChemBridge Microformat,5947747,--,--,--,0,--,--,--
ChemBridge Microformat,5982972,--,--,--,0,--,--,--
ChemBridge Microformat,5983018,--,--,--,0,--,--,--
ChemBridge Microformat,6076520,--,--,--,0,--,--,--
ChemBridge Microformat,5566007,--,--,--,0,--,--,--
ChemBridge Microformat,5318641,--,--,--,0,--,--,--
ChemBridge Microformat,6007954,--,--,--,0,--,--,--
ChemBridge Microformat,5353249,--,--,--,0,--,--,--
ChemBridge Microformat,6228603,--,--,--,0,--,--,--
ChemBridge Microformat,5103235,--,--,--,0,--,--,--
ChemBridge Microformat,6185080,--,--,--,0,--,--,--
ChemBridge Microformat,5353951,--,--,--,0,--,--,--
ChemBridge Microformat,6148532,--,--,--,0,--,--,--
ChemBridge Microformat,6148578,--,--,--,0,--,--,--
ChemBridge Microformat,5478331,--,--,--,0,--,--,--
ChemBridge Microformat,6148669,--,--,--,0,--,--,--
ChemBridge Microformat,5913871,--,--,--,0,--,--,--
ChemBridge Microformat,5354113,--,--,--,0,--,--,--
ChemBridge Microformat,5914389,--,--,--,0,--,--,--
ChemBridge Microformat,6195604,--,--,--,0,--,--,--
ChemBridge Microformat,6148725,--,--,--,0,--,--,--
ChemBridge Microformat,6167386,--,--,--,0,--,--,--
ChemBridge Microformat,6148776,--,--,--,0,--,--,--
ChemBridge Microformat,6195634,--,--,--,0,--,--,--
ChemBridge Microformat,6195778,--,--,--,0,--,--,--
ChemBridge Microformat,6195193,--,--,--,0,--,--,--
ChemBridge Microformat,6195215,--,--,--,0,--,--,--
ChemBridge Microformat,6241243,--,--,--,0,--,--,--
ChemBridge Microformat,6241249,--,--,--,0,--,--,--
ChemBridge Microformat,6241234,--,--,--,0,--,--,--
ChemBridge Microformat,6241240,--,--,--,0,--,--,--
ChemBridge Microformat,6241266,--,--,--,0,--,--,--
ChemBridge Microformat,6241267,--,--,--,0,--,--,--
ChemBridge Microformat,6241254,--,--,--,0,--,--,--
ChemBridge Microformat,6241265,--,--,--,0,--,--,--
ChemBridge Microformat,5734442,--,--,--,0,--,--,--
ChemBridge Microformat,6241268,--,--,--,0,--,--,--
ChemBridge Microformat,6241270,--,--,--,0,--,--,--
ChemBridge Microformat,5353851,--,--,--,0,--,--,--
ChemBridge Microformat,5722420,--,--,--,0,--,--,--
ChemBridge Microformat,6013307,--,--,--,0,--,--,--
ChemBridge Microformat,5734358,--,--,--,0,--,--,--
ChemBridge Microformat,5841596,--,--,--,0,--,--,--
ChemBridge Microformat,5841567,--,--,--,0,--,--,--
ChemBridge Microformat,5803560,--,--,--,0,--,--,--
ChemBridge Microformat,5803469,--,--,--,0,--,--,--
ChemBridge Microformat,5841165,--,--,--,0,--,--,--
ChemBridge Microformat,5801549,--,--,--,0,--,--,--
ChemBridge Microformat,5841246,--,--,--,0,--,--,--
ChemBridge Microformat,5801176,--,--,--,0,--,--,--
ChemBridge Microformat,5803395,--,--,--,0,--,--,--
ChemBridge Microformat,5841288,--,--,--,0,--,--,--
ChemBridge Microformat,5802483,--,--,--,0,--,--,--
ChemBridge Microformat,5801902,--,--,--,0,--,--,--
ChemBridge Microformat,6169607,--,--,--,0,--,--,--
ChemBridge Microformat,6169604,--,--,--,0,--,--,--
ChemBridge Microformat,6169582,--,--,--,0,--,--,--
ChemBridge Microformat,6169499,--,--,--,0,--,--,--
ChemBridge Microformat,6169768,--,--,--,0,--,--,--
ChemBridge Microformat,6153126,--,--,--,0,--,--,--
ChemBridge Microformat,6169739,--,--,--,0,--,--,--
ChemBridge Microformat,6153227,--,--,--,0,--,--,--
ChemBridge Microformat,6169850,--,--,--,0,--,--,--
ChemBridge Microformat,6169821,--,--,--,0,--,--,--
ChemBridge Microformat,6153440,--,--,--,0,--,--,--
ChemBridge Microformat,6153431,--,--,--,1,--,--,--
ChemBridge Microformat,6152869,--,--,--,0,--,--,--
ChemBridge Microformat,6152879,--,--,--,0,--,--,--
ChemBridge Microformat,6152853,--,--,--,0,--,--,--
ChemBridge Microformat,6152856,--,--,--,0,--,--,--
ChemBridge Microformat,6123116,--,--,--,0,--,--,--
ChemBridge Microformat,6123113,--,--,--,0,--,--,--
ChemBridge Microformat,6122961,--,--,--,1,--,--,--
ChemBridge Microformat,6122942,--,--,--,0,--,--,--
