JBS lab ID	T1 ID	T2 ID	HY T2 plant ID	Gene-ration	Batch ID	T-DNA insertion		Date harvested	Location stored	Date sown	Notes	
						Homo/Hetero	No. of insertions					
2	18	18		T3	1	Hetero		10/25/06	"Box1, RT"		
2	18	19		T3	1	Hetero		10/25/06	"Box1, RT"		
2	18	20		T3	1	Hetero		10/25/06	"Box1, RT"		
2	18	21		T3	1	Hetero		10/25/06	"Box1, RT"		
2	18	22		T3	1	Hetero		10/25/06	"Box1, RT"		
2	18	23		T3	1	Hetero		10/25/06	"Box1, RT"		
2	18	24		T3	1	Hetero		10/25/06	"Box1, RT"		
2	18	25		T3	1	Hetero		10/25/06	"Box1, RT"		
2	18	26		T3	1	Hetero		10/25/06	"Box1, RT"		
2	18	27		T3	1	Hetero		10/25/06	"Box1, RT"		
2	18	28		T3	1	Hetero		10/25/06	"Box1, RT"		
2	18	29		T3	1	Hetero		10/25/06	"Box1, RT"		
2	18	30		T3	1	Hetero		10/25/06	"Box1, RT"		
2	18	31		T3	1	Hetero		10/25/06	"Box1, RT"		
2	18	32		T3	1	Hetero		10/25/06	"Box1, RT"		
2	18	33		T3	1	Hetero		10/25/06	"Box1, RT"		
3	18	1		T3	1	Hetero		10/06/06			
3	18	2		T3	1	Hetero		10/06/06			
3	18	3		T3	1	Hetero		10/06/06			
3	18	4		T3	1	Hetero		10/06/06			
3	18	5		T3	1	Hetero		10/06/06			
3	18	6		T3	1	Hetero		10/06/06			
3	18	7		T3	1	Hetero		10/06/06			
3	18	8		T3	1	Hetero		10/06/06			
3	18	9		T3	1	Hetero		10/06/06			
3	18	10		T3	1	Hetero		10/06/06			
3	18	11		T3	1	Hetero		10/06/06			
3	18	12		T3	1	Hetero		10/06/06			
3	18	13		T3	1	Hetero		10/06/06			
3	18	14		T3	1	Hetero		10/06/06			
3	18	15		T3	1	Hetero		10/06/06			
3	18	16		T3	1	Hetero		10/06/06			
3	18	17		T3	1	Hetero		10/06/06			
3	18	18		T3	1	Hetero		10/06/06			
3	18	19		T3	1	Hetero		10/06/06			
3	18	20		T3	1	Hetero		10/06/06			
3	18	21		T3	1	Hetero		10/06/06			
3	18	22		T3	1	Hetero		10/06/06			
3	18	23		T3	1	Hetero		10/06/06			
3	18	24		T3	1	Hetero		10/06/06			
3	18	25		T3	1	Hetero		10/06/06			
3	18	26		T3	1	Hetero		10/06/06			
3	18	27		T3	1	Hetero		10/06/06			
3	18	28		T3	1	Hetero		10/06/06			
3	18	29		T3	1	Hetero		10/06/06			
3	18	30		T3	1	Hetero		10/06/06			
3	18	31		T3	1	Hetero		10/06/06			
3	18	32		T3	1	Hetero		10/06/06			
3	27	1		T3	1	Hetero		10/24/06			
3	27	2		T3	1	Hetero		10/24/06			
3	27	3		T3	1	Hetero		10/24/06			
3	27	4		T3	1	Hetero		10/24/06			
3	27	5		T3	1	Hetero		10/24/06			
3	27	6		T3	1	Hetero		10/24/06			
3	27	7		T3	1	Hetero		10/24/06			
3	27	8		T3	1	Hetero		10/24/06			
3	27	9		T3	1	Hetero		10/24/06			
3	27	10		T3	1	Hetero		10/24/06			
3	27	11		T3	1	Hetero		10/24/06			
3	27	12		T3	1	Hetero		10/24/06			
3	27	13		T3	1	Hetero		10/24/06			
3	27	14		T3	1	Hetero		10/24/06			
3	27	15		T3	1	Hetero		10/24/06			
3	27	16		T3	1	Hetero		10/24/06			
3	27	17		T3	1	Hetero		10/24/06			
3	27	18		T3	1	Hetero		10/24/06			
3	27	19		T3	1	Hetero		10/24/06			
3	27	20		T3	1	Hetero		10/24/06			
3	27	21		T3	1	Hetero		10/24/06			
3	27	22		T3	1	Hetero		10/24/06			
3	27	23		T3	1	Hetero		10/24/06			
3	27	24		T3	1	Hetero		10/24/06			
3	27	25		T3	1	Hetero		10/24/06			
3	27	26		T3	1	Hetero		10/24/06			
3	27	27		T3	1	Hetero		10/24/06			
3	27	28		T3	1	Hetero		10/24/06			
3	27	29		T3	1	Hetero		10/24/06			
3	27	30		T3	1	Hetero		10/24/06			
3	27	31		T3	1	Hetero		10/24/06			
3	27	32		T3	1	Hetero		10/24/06			
3	27	33		T3	1	Hetero		10/24/06			
3	27	34		T3	1	Hetero		10/24/06			
04	01	1	4-1-1	T3	1			07/26/06			
04	01	02	4-1-2	T3	1			07/26/06			
04	01	03	4-1-3	T3	1			07/26/06			
04	01	04	4-1-4	T3	1			07/26/06			
04	01	05	4-1-5	T3	1			07/26/06			
04	01	06	4-1-6	T3	1			07/26/06			
04	01	07	4-1-7	T3	1			07/26/06			
04	01	08	4-1-8	T3	1			07/26/06			
04	01	09	4-1-9	T3	1			07/26/06			
04	01	10	4-1-10	T3	1			07/26/06			
04	01	11	4-1-11	T3	1			07/26/06			
04	01	12	4-1-12	T3	1			07/26/06			
04	01	13	4-1-13	T3	1			07/26/06			
04	01	14	4-1-14	T3	1			07/26/06			
04	01	15	4-1-15	T3	1			07/26/06			
04	01	16	4-1-16	T3	1			07/26/06			
04	01	17	4-1-17	T3	1			07/26/06			
04	01	18	4-1-18	T3	1			07/26/06			
04	01	19	4-1-19	T3	1			07/26/06			
04	01	20	4-1-20	T3	1			07/26/06			
04	01	21	4-1-21	T3	1			07/26/06			
04	01	22	4-1-22	T3	1			07/26/06			
04	01	23	4-1-23	T3	1			07/26/06			
04	01	24	4-1-24	T3	1			07/26/06			
04	01	25	4-1-25	T3	1			07/26/06			
04	01	26	4-1-26	T3	1			07/26/06			
04	01	27	4-1-27	T3	1			07/26/06			
04	01	28	4-1-28	T3	1			07/26/06			
04	01	29	4-1-29	T3	1			07/26/06			
04	01	30	4-1-30	T3	1			07/26/06			
04	01	31	4-1-31	T3	1			07/26/06			
04	01	32	4-1-32	T3	1			07/26/06			
04	05	01	4-5-1	T3	1			07/14/06			
04	05	02		T3	1			07/14/06			
04	05	03		T3	1			07/14/06			
04	05	04		T3	1			07/14/06			
04	05	05		T3	1			07/14/06			
04	05	06		T3	1			07/14/06			
04	05	07		T3	1			07/14/06			
04	05	08		T3	1			07/14/06			
04	05	09		T3	1			07/14/06			
04	05	10		T3	1			07/14/06			
04	05	11		T3	1			07/14/06			
04	05	12		T3	1			07/14/06			
04	05	13		T3	1			07/14/06			
04	05	14		T3	1			07/14/06			
04	05	15		T3	1			07/14/06			
04	05	17		T3	1			07/14/06			
04	05	18		T3	1			07/14/06			
04	05	19		T3	1			07/14/06			
04	05	20		T3	1			07/14/06			
04	05	22		T3	1			07/14/06			
04	05	23		T3	1			07/14/06			
04	05	24		T3	1			07/14/06			
04	05	26		T3	1			07/14/06			
04	05	27		T3	1			07/14/06			
04	05	28		T3	1			07/14/06			
04	05	29		T3	1			07/14/06			
04	05	30		T3	1			07/14/06			
04	05	32		T3	1			07/14/06			
04	05	33		T3	1			07/14/06			
04	05	34		T3	1			07/14/06			
04	05	35		T3	1			07/14/06			
04	16	01	4-16-1	T3	1	Hetero		07/26/06			
04	16	02		T3	1	Hetero		07/26/06			
04	16	03		T3	1	Hetero		07/26/06			
04	16	04		T3	1	Homo		07/26/06			
04	16	05		T3	1	Hetero		07/26/06			
04	16	06		T3	1	Homo		07/26/06			
04	16	07		T3	1	Hetero		07/26/06			
04	16	08	4-16-08	T3	1	Hetero		07/26/06			
05	03	01	5-3-1	T3	1	Hetero		07/29/06		Aug 06	
05	03	02		T3	1	Hetero		07/29/06		Aug 06	
05	03	03		T3	1	Hetero		07/29/06		Aug 06	
05	03	04		T3	1	Hetero		07/29/06		Aug 06	
05	03	05		T3	1	Hetero		07/29/06		Aug 06	
05	03	06		T3	1	Hetero		07/29/06		Aug 06	
05	03	07		T3	1	Hetero		07/29/06		Aug 06	
05	03	08		T3	1	Hetero		07/29/06		Aug 06	
05	03	09		T3	1	Hetero		07/29/06		Aug 06	
05	03	10		T3	1	Hetero		07/29/06		Aug 06	
05	03	11		T3	1	Hetero		07/29/06		Aug 06	
05	03	12		T3	1	Hetero		07/29/06		Aug 06	
05	03	13		T3	1			07/29/06			
05	03	14		T3	1			07/29/06			
05	03	15		T3	1			07/29/06			
05	03	16		T3	1			07/29/06			
05	03	17		T3	1			07/29/06			
05	03	18		T3	1			07/29/06			
05	03	19		T3	1			07/29/06			
05	03	20		T3	1			07/29/06			
05	03	21		T3	1	Hetero		07/29/06			
05	03	22		T3	1	Hetero		07/29/06			
05	03	23		T3	1	Hetero		07/29/06			
05	03	24		T3	1	Hetero		07/29/06			
05	03	25		T3	1	Hetero		07/29/06			
05	03	26		T3	1	Hetero		07/29/06			
05	03	27		T3	1	Hetero		07/29/06			
05	03	28		T3	1	Hetero		07/29/06			
05	03	29		T3	1	Hetero		07/29/06			
05	03	30		T3	1	Hetero		07/29/06			
05	03	31		T3	1			07/29/06			
05	03	32	5-3-32	T3	1			07/29/06			
05	06	01		T3	1	Hetero		08/14/06			
05	06	02		T3	1	Hetero		08/14/06			
05	06	03		T3	1	Hetero		08/14/06			
05	06	04		T3	1	Hetero		08/14/06			
05	06	05		T3	1	Hetero		08/14/06			
05	06	06		T3	1	Hetero		08/14/06			
05	06	07		T3	1	Hetero		08/14/06			
05	06	08		T3	1	Hetero		08/14/06			
05	06	09		T3	1	Hetero		08/14/06			
05	06	10		T3	1	Hetero		08/14/06			
05	06	11		T3	1			08/14/06			
05	06	12		T3	1			08/14/06			
05	06	13		T3	1			08/14/06			
05	06	14		T3	1			08/14/06			
05	06	15		T3	1			08/14/06			
05	06	16		T3	1			08/14/06			
05	06	17		T3	1			08/14/06			
05	06	18		T3	1			08/14/06			
05	06	19		T3	1			08/14/06			
05	06	20		T3	1			08/14/06			
05	06	21		T3	1			08/14/06			
05	06	22		T3	1			08/14/06			
05	06	23		T3	1			08/14/06			
05	06	24		T3	1			08/14/06			
05	06	25		T3	1			08/14/06			
