Library	ID	Plate	Well	Raw Value	Score	Stdev
MS	ST001609	AT003-01	H08	7482.666667	1.103595198	754.6981737
MS	ST001658	AT003-01	H09	4924.666667	0.971765905	1381.497135
MS	ST001747	AT003-01	H10	4737.666667	0.998678137	186.7654501
MS	ST001850	AT003-01	H11	5009.333333	0.939721084	201.7952758
MS	L129836	AT004-01	A02	6351.666667	0.936787531	607.2638087
MS	L131008	AT004-01	A03	5486.666667	1.082663246	980.6438361
MS	L131768	AT004-01	A04	4834	1.018984757	217.1428102
MS	L132446	AT004-01	A05	5262	0.987119845	270.5124766
MS	L132799	AT004-01	A06	6664	0.982852601	361.0166201
MS	ST001869	AT004-01	A07	4600.333333	0.907766432	211.9300199
MS	ST001944	AT004-01	A08	3885	0.818939963	170.6927063
MS	ST002027	AT004-01	A09	5437	1.019948802	263.8996021
MS	ST002084	AT004-01	A10	7212	1.063675414	881.7692442
MS	ST002123	AT004-01	A11	5102.333333	1.006824199	293.5325081
MS	L130052	AT004-01	B02	4421	0.931926274	364.0041209
MS	L131016	AT004-01	B03	5379	1.009068348	567.7358541
MS	L131814	AT004-01	B04	6157	0.908076751	133.2816567
MS	L132462	AT004-01	B05	5613	1.107592127	88.42510956
MS	L132829	AT004-01	B06	4870.666667	1.02671392	232.11276
MS	ST001874	AT004-01	B07	10563.66667	1.981680921	374.6923182
MS	ST001947	AT004-01	B08	6824	1.006450503	523.9456079
MS	ST002030	AT004-01	B09	3345.666667	0.660187789	483.7192712
MS	ST002085	AT004-01	B10	4943	1.041961451	537.8856756
MS	ST002131	AT004-01	B11	3740.333333	0.701664246	338.2843971
MS	L130117	AT004-01	C02	7376	1.087863263	324.6351799
MS	L131083	AT004-01	C03	5310.666667	1.04793383	515.3293445
MS	L131822	AT004-01	C04	4180.333333	0.881194858	220.8989211
MS	L132470	AT004-01	C05	5196.333333	0.97480117	354.2743758
MS	L132896	AT004-01	C06	4442.666667	0.655235067	742.1012959
MS	ST001882	AT004-01	C07	4079.333333	0.804959466	500.2922479
MS	ST001949	AT004-01	C08	3186.333333	0.671664273	173.4858304
